,time,acc,predicted
0,1363.5,40.506303,55230.344140500005
1,1112.4,27.8259,30953.53116
2,4062.0,782.757362,3179560.404444
3,2035.9,199.401833,405962.19180470007
4,2560.4,357.839784,916212.9829536
5,1358.7,42.89314,58278.909318000005
6,2181.1,221.102576,482246.8285136
7,806.3,8.001182,6451.353046599999
8,2174.8,144.550019,314367.3813212
9,1837.0,71.754438,131812.902606
10,2049.7,87.216716,178768.1027852
11,3357.8,767.02247,2575508.0497660004
12,710.7,8.442659,6000.197751300001
13,957.5,20.344842,19480.186215
14,3234.6,714.093876,2309808.0513096
15,2663.1,346.981657,924046.8507567
16,1670.6,50.886037,85010.2134122
17,1423.9,71.606015,101959.8047585
18,2935.3,286.067812,839694.8485636001
19,2539.1,243.2546,617647.75486
20,2282.6,182.715088,417065.4598688
21,1637.2,79.783571,130621.6624412
22,1174.4,24.000326,28185.982854400005
23,3144.5,779.61151,2451488.393195
24,849.0,9.577781,8131.536069
25,2033.6,153.104367,311353.0407312
26,1785.1,119.271648,212911.8188448
27,1735.1,71.096792,123360.04379919998
28,1291.1,32.331588,41743.3132668
29,3397.5,656.028261,2228856.0167475003
30,893.3,23.840549,21296.7624217
31,615.1,8.321027,5118.263707700001
32,867.8,12.900572,11195.1163816
33,1914.4,110.834975,212182.47614
34,1597.5,69.832718,111557.767005
35,1701.7,37.662281,64089.9035777
36,1439.5,39.305967,56580.9394965
37,408.2,3.022777,1233.8975714
38,1205.0,40.848745,49222.737725
39,534.7,5.466833,2923.1156051000003
40,2440.9,304.549616,743375.1576944
41,651.7,4.917721,3204.8787757000005
42,1369.6,67.267451,92129.5008896
43,1289.9,46.479865,59954.3778635
44,1855.0,87.075955,161525.896525
45,2436.6,307.619184,749544.9037344
46,1452.9,75.374302,109511.3233758
47,1387.9,52.845429,73344.17090910001
48,1956.0,125.02866,244556.05896
49,1678.8,78.609164,131969.0645232
50,2867.7,166.285683,476857.4531391
51,1473.9,45.36057,66856.94412300001
52,2701.2,258.326496,697791.5309952
53,2198.4,173.567153,381570.0291552
54,1052.4,23.840899,25090.1621076
55,1173.7,32.307479,37919.2881023
56,929.2,12.080443,11225.147635600002
57,1672.5,70.593715,118067.9883375
58,634.6,7.946796,5043.0367416
59,1307.9,41.911545,54816.1097055
60,2264.9,198.851781,450379.3987869
61,3244.5,587.700751,1906795.0866195
62,1303.6,38.733577,50493.0909772
63,1712.7,78.06785,133706.806695
64,1308.4,29.420225,38493.42239
65,2279.2,185.798508,423471.9594336
66,2158.0,147.906973,319183.247734
67,1780.2,63.82706,113624.932212
68,1453.0,27.433638,39861.076014
69,2126.9,139.831925,297408.52128250006
70,2077.8,112.72484,234219.67255200003
71,1632.5,68.421146,111697.520845
72,3303.3,692.023718,2285961.9476694004
73,1209.8,32.411121,39210.9741858
74,2126.1,174.78226,371604.562986
75,2635.6,347.24212,915191.331472
76,2325.5,215.072081,500150.1243655
77,1053.0,29.242768,30792.634704
78,1105.3,19.089099,21099.1811247
79,1557.7,35.379782,55111.0864214
80,2057.2,107.494363,221137.4035636
81,2733.8,391.034749,1069010.7968162
82,1179.0,24.910261,29369.197719
83,1503.3,44.65599,67131.349767
84,697.4,12.631346,8809.1007004
85,2047.6,103.220784,211354.8773184
86,907.7,18.183077,16504.778992900003
87,957.3,25.696422,24599.1847806
88,2971.0,550.37758,1635171.79018
89,966.8,13.750161,13293.6556548
90,1446.1,46.65641,67469.83450099999
91,695.1,5.243637,3644.8520787
92,2480.2,192.856286,478322.1605372
93,2280.2,253.1112,577144.1582399999
94,4394.4,1181.679651,5192773.058354399
95,604.0,9.258982,5592.425128
96,3199.2,626.587888,2004579.9712896
97,690.9,9.24134,6384.841805999999
98,2200.8,253.327732,557523.6725856
99,3014.1,447.99475,1350300.975975
100,2999.3,233.197764,699430.0535652001
101,2794.0,368.139012,1028580.399528
102,1700.6,109.213581,185728.6158486
103,1508.2,96.512658,145560.39079560002
104,1762.7,108.751003,191695.3929881
105,1698.9,79.691208,135387.3932712
106,1170.9,42.226791,49443.3495819
107,1403.5,39.573012,55540.722342
108,2987.2,436.900462,1305109.0600864
109,1439.1,66.476347,95666.1109677
110,1381.3,51.244138,70783.5278194
111,1389.0,46.029259,63934.640751000006
112,818.2,11.702943,9575.3479626
113,3131.6,761.838024,2385771.9559584
114,614.9,4.169476,2563.8107924
115,2137.4,246.864234,527647.6137516
116,1457.5,60.649306,88396.363495
117,865.3,25.657605,22201.5256065
118,1586.0,65.542813,103950.901418
119,4136.1,1068.463535,4419272.027113501
120,1500.6,66.124065,99225.771939
121,1143.7,31.604003,36145.4982311
122,2017.6,131.911701,266145.0479376
123,1939.3,181.177602,351357.7235586
124,2184.1,38.999575,85178.9717575
125,931.2,16.723595,15573.011664
126,2011.6,117.970849,237310.1598484
127,144.7,1.488803,215.4297941
128,1099.1,25.373401,27887.9050391
129,1137.5,27.674067,31479.2512125
130,1624.3,107.116194,173988.8339142
131,2169.2,241.501326,523864.6763592
132,1980.5,118.959948,235600.177014
133,2286.4,147.90254,338164.367456
134,1266.4,31.401362,39766.6848368
135,2211.7,145.849747,322575.8854399
136,753.9,12.559016,9468.2421624
137,2368.7,218.503022,517568.10821139993
138,1467.7,34.882487,51197.0261699
139,2080.9,176.62222,367533.177598
140,3435.1,519.958935,1786110.9376185
141,2511.2,274.346249,688938.3004887999
142,1056.3,27.838288,29405.5836144
143,1299.5,46.547321,60488.2436395
144,2695.7,280.252836,755477.5700052
145,1817.8,154.144879,280204.5610462
146,1406.5,69.485445,97731.2783925
147,2498.2,259.500733,648284.7311806
