,time,acc,predicted
0,876.0,678.13922,594049.95672
1,754.0,369.275942,278434.060268
2,287.0,28.640723,8219.887501000001
3,1246.0,2056.119797,2561925.267062
4,1040.0,1057.694481,1100002.26024
5,1785.0,7049.621494,12583574.36679
6,1349.0,2777.822995,3747283.220255
7,914.0,802.851462,733806.236268
8,1515.0,3904.208518,5914875.90477
9,1231.0,2215.369166,2727119.443346
10,798.0,434.914357,347061.656886
11,619.0,221.23927,136947.10813
12,1257.0,2065.170623,2595919.473111
13,351.0,57.784558,20282.379858
14,1341.0,2673.96732,3585790.1761200004
15,1399.0,3243.02737,4536995.29063
16,980.0,965.43186,946123.2228
17,900.0,662.458857,596212.9713
18,1130.0,1435.425536,1622030.85568
19,1407.0,3077.719551,4330351.408257
20,337.0,44.545422,15011.807214
21,1023.0,1060.289326,1084675.980498
22,1413.0,3204.197687,4527531.331731
23,1102.0,1446.606882,1594160.783964
24,1123.0,1394.212456,1565700.588088
25,1739.0,6274.004988,10910494.674132
26,1238.0,1984.894013,2457298.788094
27,780.0,427.731785,333630.79230000003
28,1658.0,5459.967139,9052625.516462
29,1266.0,2340.633133,2963241.546378
30,1455.0,3416.556764,4971090.09162
31,1272.0,2195.148028,2792228.291616
32,598.0,191.223529,114351.670342
33,1626.0,5143.562195,8363432.129070001
34,1184.0,1654.696997,1959161.244448
35,1437.0,3235.603823,4649562.693651
36,1101.0,1352.552706,1489160.529306
37,1591.0,4928.691894,7841548.803354
38,1487.0,3678.921391,5470556.108417
39,524.0,130.965919,68626.141556
40,1033.0,1119.958381,1156917.007573
41,1159.0,1558.673458,1806502.537822
42,1009.0,1086.523015,1096301.722135
43,1550.0,4180.327869,6479508.19695
44,1100.0,1351.768874,1486945.7614000002
45,1406.0,3145.623324,4422746.393544001
46,1275.0,2180.872545,2780612.4948750003
47,1310.0,2450.576944,3210255.79664
48,1027.0,1061.499457,1090159.9423389998
49,1178.0,1711.471302,2016113.193756
50,1248.0,2045.660492,2552984.294016
51,687.0,286.500476,196825.827012
52,1125.0,1415.197574,1592097.27075
53,1972.0,10043.37431,19805534.13932
54,965.0,966.532841,932704.191565
55,1795.0,7353.364604,13199289.46418
56,1027.0,1078.460942,1107579.387434
57,1434.0,3262.832767,4678902.187878
58,503.0,120.018168,60369.138504
59,1745.0,6792.397687,11852733.963815
60,793.0,448.566263,355713.046559
61,1152.0,1540.819312,1775023.847424
62,1356.0,2758.361266,3740337.876696
63,1167.0,1660.025604,1937249.879868
64,1238.0,2076.205962,2570342.980956
65,1461.0,3528.393372,5154982.716492
66,1249.0,2008.896536,2509111.773464
67,1699.0,5900.230491,10024491.604209
68,1514.0,3866.242818,5853491.626452
69,858.0,592.360433,508245.251514
70,1515.0,4200.286169,6363433.546035
71,1248.0,1986.548599,2479212.651552
