,time,acc,predicted
0,5873.0,2477591.56512,14550895261.94976
1,3598.0,372753.036599,1341165425.683202
2,1276.0,9183.964431,11718738.613956
3,570.0,601.690195,342963.41115
4,2376.0,78833.611367,187308660.607992
5,2598.0,110918.303449,288165752.360502
6,6207.0,3201149.13582,19869532686.03474
7,2857.0,159495.460679,455678531.1599031
8,3664.0,412311.84648,1510710605.50272
9,1856.0,34137.053188,63358370.716928
10,1245.0,8000.643716,9960801.42642
11,3581.0,375337.844138,1344084819.858178
12,8243.0,9570973.958038,78893538336.10724
13,10555.0,24302518.399421,256513081705.88864
14,4161.0,632684.401783,2632599795.8190627
15,1366.0,10997.849616,15023062.575456
16,3721.0,434690.552591,1617483546.1911108
17,6072.0,2794327.81772,16967158509.19584
18,285.0,86.930525,24775.199625
19,7351.0,5816351.658161,42756001039.14151
20,898.0,2665.497451,2393616.710998
21,957.0,3307.562197,3165337.0225290004
22,3351.0,301001.703263,1008656707.634313
23,1763.0,24779.508632,43686273.718216
24,5211.0,1584580.736093,8257250215.780623
25,3610.0,373098.037275,1346883914.56275
26,12039.0,40994450.174669,493532185652.8401
27,5517.0,1957659.364379,10800406713.278942
28,1257.0,8552.130802,10750028.418114
29,939.0,3196.243524,3001272.669036
30,1799.0,29628.584451,53301823.427349
31,1801.0,28127.426607,50657495.319207005
32,5848.0,2388462.668656,13967729686.300287
33,1068.0,5008.803799,5349402.457332
34,5216.0,1566365.415821,8170162008.922336
35,7863.0,7927205.773018,62331618993.24053
36,8061.0,8564935.011305,69041941126.12961
37,900.0,2614.029283,2352626.3547
38,2801.0,150435.077067,421368650.864667
39,1214.0,7735.457206,9390845.048084
40,2304.0,70430.959332,162272930.300928
41,897.0,2627.383791,2356763.2605270003
42,8896.0,12686611.880012,112860099284.58676
43,395.0,200.847764,79334.86678000001
44,1133.0,5719.945175,6480697.883274999
45,5947.0,2669164.961504,15873524026.064287
46,6032.0,2832701.530968,17086855634.798977
47,974.0,3224.333282,3140500.616668
48,1979.0,43248.515808,85588812.78403199
49,963.0,3220.240778,3101091.869214
50,6413.0,3509626.221596,22507232959.095142
51,8333.0,9591744.886126,79928010136.08797
52,1934.0,41634.886466,80521870.425244
