,time,acc,predicted
0,24085.0,85982.031567,2070877230.291195
1,10025.0,3840.040979,38496410.814475
2,10927.0,5269.925366,57584474.474282
3,8877.0,2630.857834,23354124.992418
4,21993.0,61147.908195,1344825944.932635
5,16298.0,21074.046593,343464811.372714
6,10930.0,5245.069845,57328613.40585
7,5981.0,729.452355,4362854.535255
8,7557.0,1499.724395,11333417.253015
9,20370.0,46681.338399,950898863.18763
10,3248.0,120.603541,391720.301168
11,2231.0,48.613114,108455.857334
12,4342.0,254.901849,1106783.828358
13,18581.0,33042.184111,613956822.966491
14,9534.0,3186.847881,30383407.697454
15,3333.0,132.030022,440056.063326
16,2481.0,58.962592,146286.190752
17,7259.0,1354.804697,9834527.295523
18,3419.0,140.658352,480910.905488
19,1946.0,31.879543,62037.590678
20,16440.0,21799.563479,358384823.59476
21,4810.0,371.332329,1786108.50249
22,2051.0,40.804121,83689.252171
23,12654.0,8419.432109,106539493.907286
24,11872.0,6734.314505,79949781.80336
25,9773.0,3526.171031,34461269.485963
26,12450.0,8224.373059,102393444.58455
27,10461.0,4382.360523,45843873.431103006
28,4860.0,374.910465,1822064.8599
29,10367.0,4257.502875,44137532.305125
30,4279.0,261.070796,1117121.936084
31,13033.0,9353.130412,121899348.659596
32,4075.0,230.222866,938158.17895
33,8916.0,2646.006657,23591795.353812
34,7263.0,1303.237048,9465410.679624
35,5419.0,555.439972,3009929.2082680003
36,8299.0,2065.045633,17137813.708267003
37,4497.0,302.971987,1362465.025539
38,11396.0,6014.833739,68545045.289644
39,6217.0,828.495504,5150756.548368
40,17663.0,27751.125637,490168132.12633103
41,5290.0,493.043856,2608201.99824
42,9459.0,3148.378281,29780510.159979
43,5077.0,426.538046,2165533.659542
44,7634.0,1585.974042,12107325.836628
45,5633.0,596.244159,3358643.347647
46,1805.0,27.221257,49134.368885
47,10455.0,4426.536306,46279437.07923
48,8372.0,2206.907091,18476226.165852
49,8564.0,2283.723526,19557808.276664004
50,7929.0,1728.587672,13705971.651288
51,4880.0,384.80553,1877850.9864
52,11978.0,7059.326023,84556607.10349399
